,titles,ratings,reviews,dates,replies,reply_dates
0,Le bouche de Auchan Bagnolet,5,"Je Merci  Ahmed ou Mohamed Auchan Bagnolet de la boucherie au détail pour son service,son amabilité et son grand professionnalisme.",2023-03-05T14:08:00.000Z,,
1,Trop vorace Auchan GAP... honte,1,"Trop vorace cet Auchan, après son maintien en Russie  ici c est l'Arnaque sur les petits prix !
Yaourt nature étuve 4x125 g
Achat le 17 dec2022   0,55€
Achat le 20 fevr2023   0,69€
Plus de 25 % d augmentation en deux mois, et ils voudraient nous faire avaler qu ils se battent pour limiter leurs prix  !!!   A votre entière disposition, les tickets 
de caisse ! C est une HONTE.... faire passer,merci.",2023-02-23T16:44:45.000Z,"Bonjour,",2023-02-25T20:05:05.000Z
2,Cela mérite 0 mais on ne peut pas on…,1,"Cela mérite 0 mais on ne peut pas on vous promet la lune vous achetez vous payez et là les problèmes commencent le transporteur qui a des délais à rallonge ""agediss"" aucune solution possible avec auchan aucune solution soit disant pour rembourser il faut attendre la validation du transporteur alors que l'achat vous l'avez effectué chez auchan c'est abusé mensongé frauduleux je ne sais toujours pas quand je vais être remboursé mais je ne vais pas en rester là cela mérite d'être mis au grand jour",2023-02-22T12:09:09.000Z,"Bonsoir,",2023-02-25T19:54:07.000Z
3,Suite achat du poisson (deux kilos de…,2,"Suite achat du poisson (deux kilos de tacaud) , on m'a refusé le nettoyage du poisson, on m'as dit on nettoie pas. 
Or dans chaque poissonnerie, ils nettoient et prépare le poisson acheté.",2023-02-25T16:21:52.000Z,"Bonsoir,",2023-02-25T20:15:15.000Z
4,Impossibilité d'effectuer mes achats en toute tranquillité.,1,"Après de très mauvaises expériences oú je me suis fait harceler par des employés de rayons et des vigils et ce de plusieurs magasins qui ne comprenaient pas que j'étais client du magasin et que eux représentaient  l'enseigne alors que j'étais présent pour faire mes courses. Je ne remettrai plus jamais les pieds dans un hypermarché/Supermarché Auchan (eux non plus d'ailleurs, je crois bien).
En ce qui concerne la date, c'est arrivé tellement de fois que c'est impossible d'en donné une mais c'était à chaque fois que j'y mettais les pieds.",2023-02-20T02:53:08.000Z,"Bonsoir,",2023-02-25T19:32:35.000Z
5,Service déplorable,1,Cela fait des années que je n'y vais plus plus car ils ont refusé de m'échanger un produit pourtant défectueux. Le chef de rayon à l'allure d'un pêcheur privé de sommeil et de savon était particulièrement exécrable. Par ailleurs le groupe Mulliez dont fait partie Auchan continue d'oeuvrer en Russie... Je déconseille d'y aller et j'invite tout mon entourage à boycotter le groupe.,2023-02-17T14:33:52.000Z,"Bonjour Paulo,",2023-02-25T18:24:55.000Z
6,L'enseigne pratique des prix très…,1,"L'enseigne pratique des prix très élevés. 
Les caissiers sont cependant aimables, même très aimables pour certains, mais si il y a réellement un soutien à la Russie, alors cela devient très dérangeant.
Je souhaiterais que l'enseigne s'explique sur sa politique commerciale à l'étranger et qu'elle le fasse avec honnêteté.",2023-02-17T19:38:22.000Z,"Bonjour,",2023-02-25T18:26:41.000Z
7,Russie,1,"Je n'accepte pas le fait que vous soyez restés en russie. Encore moins que vous participiez à l'effort de guerre en faveur des russes. Les Mulliez ne voient vraiment que leurs intérêts. Ce sont les seuls à être restés. Mc Do est parti, Ikea aussi, Gucci aussi, mais pas Auchan et Leroy Merlin. Bravo !",2023-02-18T12:36:00.000Z,"Bonjour,",2023-02-25T18:28:42.000Z
8,Je vais désormais boycotter cette…,1,"Je vais désormais boycotter cette marque qui collabore avec les armées de Poutine en Russie. A l'heure où toute l'Union Européenne a pris le parti de l'Ukraine honteusement attaquée, occupée et martyrisée, la marque Auchan nous fait honte !!!!!",2023-02-19T14:17:18.000Z,"Bonjour,",2023-02-25T18:29:18.000Z
9,Auchan les grandes surfaces de la honte…,1,"Auchan les grandes surfaces de la honte en Russie, le groupe est même en train de construire une autre très grande surface et vend des produits à l’armée russe. Alors que tant de groupes ont laissé tomber leur commerce avec la Russie, Gérard Mulliez invoque son maintien pour l’emploie de 300 milles personnes en Russie. Gérard Mulliez ose mettre sa fausse philanthropie en avant en voulant maintenir 300 milles emplois en Russie alors que son seul motif est le business.  Mais, Mr Gérard Mulliez, profiteur de guerre, songez-vous aux 43 227 825 ukrainiens qui souffrent de la faim, du froid et des bombardements quotidiens. J’espère qu’à la fin de la guerre vous serez jugés pour entente avec l’ennemie, complice de la guerre, crimes de guerre et d’humanité.",2023-02-22T00:09:51.000Z,"Bonjour,",2023-02-25T19:44:30.000Z
